OK	3xcalibur/Arbitrum_42161/0xd2568accd10a4c98e87c44e9920360031ad89fcb	0	10	0.8.11	
OK	0x-nodes/Ethereum_1/0xaaca86b876ca011844b5798eca7a67591a9743c8	0	6	0.7.6	
OK	5ire-dapp-staking/Ethereum_1/0x3bd7d4f524d09f4e331577247a048d56e4b67a7f	1	11	0.8.21	
OK	3a-dao/Polygon_137/0x58c7b2828e7f2b2caa0cc7feef242fa3196d03df	1	9	0.8.0	
OK	0xacid/Arbitrum_42161/0x29c1ea5ed7af53094b1a79ef60d20641987c867e	1	12	0.8.18	
OK	0x0.ai/Ethereum_1/0x5a3e6a77ba2f983ec0d371ea3b475f8bc0811ad5	1	33	0.8.17	
OK	1inch-swap/Ethereum_1/0x111111111117dc0aa78b770fa6a738034120c302	1	19	0.6.12	
OK	88mph/Ethereum_1/0x8888801af4d980682e47f1a9036e589479e835c5	1	6	0.5.17	
OK	a51-finance-v2/Polygon_137/0xe9e7c09e82328c3107d367f6c617cf9977e63ed0	1	6	0.8.6	
OK	aave-arc/Ethereum_1/0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9	0	33	0.6.10	
OK	0xscans/Ethereum_1/0x10703ca5e253306e2ababd68e963198be8887c81	1	43	0.8.19	
OK	a51-finance-v3/Polygon_137/0xe9e7c09e82328c3107d367f6c617cf9977e63ed0	1	6	0.8.6	
OK	aave-horizon-rwa/Ethereum_1/0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9	1	33	0.6.10	
OK	aavegotchi/Ethereum_1/0x3f382dbd960e3a9bbceae22651e88158d2791550	1	63	0.4.24	
OK	aave-v2/Ethereum_1/0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9	1	33	0.6.10	
OK	aave-v1/Ethereum_1/0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9	1	33	0.6.10	
OK	aave-v3/Ethereum_1/0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9	0	33	0.6.10	
OK	aave-v4/Ethereum_1/0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9	1	33	0.6.10	
OK	abracadabra-spell/Ethereum_1/0x090185f2135308bad17527004364ebcc2d37e5f6	1	9	0.6.12	
OK	ace-of-base/Base_8453/0xb1a45a38b88b2183f7523db2e5e5cea55b050958	1	7	0.8.4	
OK	across/Ethereum_1/0x0bf07b2e415f02711ffbb32491f8ec9e5489b2e7	1	23	0.8.19	
FAIL	aelin/Ethereum_1/0xa9c125bf4c8bb26f299c00969532b66732b1f758	0	-	0.8.9	[Errno 2] No such file or directory: '/home/fatima/Downloads   | | 6 | import "../../safeguard/Ownable.sol"; |   | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
OK	aark-digital/Arbitrum_42161/0xca4e51f6ad4afd9d1068e5899de9dd7d73f3463d	2	51	0.8.19	
OK	adi-bridge/Ethereum_1/0x8b1484d57abbe239bb280661377363b03c89caea	0	22	0.8.29	
OK	adamant-finance/Polygon_137/0xc3fdbadc7c795ef1d6ba111e06ff8f16a20ea539	1	6	0.6.12	
OK	aerostrategy/Base_8453/0x1a85b97f8b0e1cee4d5500e093f5970a2aeb3fb8	0	20	0.8.30	
FAIL	aevo-perps/Ethereum_1/0xb528edbef013aff855ac3c50b381f253af13b997	0	-	0.8.20	[Errno 2] No such file or directory: '/home/fatima/Downloads    | | 18 | import {ERC20} from "solmate/tokens/ERC20.sol"; |    | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
OK	aerodrome-ignition/Base_8453/0x940181a94a35a4569e4529a3cdfb74e38fd98631	1	37	0.8.19	
OK	aerodrome-slipstream/Base_8453/0x940181a94a35a4569e4529a3cdfb74e38fd98631	1	37	0.8.19	
OK	agility-lsd/Ethereum_1/0x5f18ea482ad5cc6bc65803817c99f477043dce85	1	6	0.8.18	
OK	aerodrome-v1/Base_8453/0x940181a94a35a4569e4529a3cdfb74e38fd98631	1	37	0.8.19	
